,Station ID,Complex ID,GTFS Stop ID,Division,Line,Stop Name,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,North Direction Label,South Direction Label,ADA,ADA Direction Notes,ADA NB,ADA SB,Capital Outage NB,Capital Outage SB
305,305,305,115,IRT,Broadway - 7Av,137 ST-CITY COLLEGE,M,1,Subway,40.822008,-73.953676,Uptown & The Bronx,Downtown,0,,,,,
391,391,391,416,IRT,Jerome Av,138 ST-GRAND CONCOURSE,Bx,4 5,Subway,40.813224,-73.929849,Woodlawn - Eastchester Dyre Av,Manhattan,0,,,,,
322,322,601,132,IRT,Broadway - 7Av,14 ST,M,1 2 3,Subway,40.737826,-74.000201,Uptown & The Bronx,Downtown & Brooklyn,0,,,,,
165,166,618,A31,IND,8th Av - Fulton St,14 ST,M,A C E,Subway,40.740893,-74.00169,Uptown - Queens,Downtown & Brooklyn,1,,,,,
229,229,601,D19,IND,6th Av - Culver,14 ST,M,F M,Subway,40.738228,-73.996209,Uptown & Queens,Downtown & Brooklyn,0,,,,,
14,15,602,R20,BMT,Broadway - Brighton,14 ST-UNION SQ,M,N Q R W,Subway,40.735736,-73.990568,Uptown & Queens,Downtown & Brooklyn,1,,,,,
406,406,602,635,IRT,Lexington Av,14 ST-UNION SQ,M,4 5 6,Subway,40.734673,-73.989951,Uptown & The Bronx,Downtown & Brooklyn,0,,,,,
116,117,602,L03,BMT,Canarsie,14 ST-UNION SQ.,M,L,Subway,40.734789,-73.99073,8 Av,Brooklyn,1,,,,,
304,304,304,114,IRT,Broadway - 7Av,145 ST,M,1,Subway,40.826551,-73.95036,Uptown & The Bronx,Downtown,0,,,,,
437,437,437,302,IRT,Lenox - White Plains Rd,145 ST,M,3,Subway,40.820421,-73.936245,148 St,Downtown & Brooklyn,0,,,,,
150,151,151,D13,IND,Concourse,145 ST,M,B D,Subway,40.824783,-73.944216,Uptown & The Bronx,Downtown & Brooklyn,0,,,,,
149,151,151,A12,IND,8th Av - Fulton St,145 ST,M,A C,Subway,40.824783,-73.944216,Uptown & The Bronx,Downtown & Brooklyn,0,,,,,
435,435,603,222,IRT,Lenox - White Plains Rd,149 ST-GRAND CONCOURSE,Bx,2 5,Subway,40.81841,-73.926718,Wakefield - Eastchester,Manhattan,0,,,,,
390,390,603,415,IRT,Jerome Av,149 ST-GRAND CONCOURSE,Bx,4,Subway,40.818375,-73.927351,Woodlawn,Manhattan,0,,,,,
241,241,241,F25,IND,6th Av - Culver,15 ST-PROSPECT PARK,Bk,F G,Subway,40.660365,-73.979493,Manhattan - Queens,Church Av - Coney Island,0,,,,,
148,150,150,A11,IND,8th Av - Fulton St,155 ST,M,C,Subway,40.830518,-73.941514,Uptown,Downtown & Brooklyn,0,,,,,
220,220,220,D12,IND,Concourse,155 ST,M,B D,Subway,40.830135,-73.938209,The Bronx,Downtown & Brooklyn,0,,,,,
303,303,303,113,IRT,Broadway - 7Av,157 ST,M,1,Subway,40.834041,-73.94489,Uptown & The Bronx,Downtown,0,,,,,
389,389,604,414,IRT,Jerome Av,161 ST-YANKEE STADIUM,Bx,4,Elevated,40.827994,-73.925831,Woodlawn,Manhattan,1,,,,,
219,219,604,D11,IND,Concourse,161 ST-YANKEE STADIUM,Bx,B D,Subway,40.827905,-73.925651,Bedford Pk Blvd & 205 St,Manhattan,1,,,,,
147,149,149,A10,IND,8th Av - Fulton St,163 ST-AMSTERDAM AV,M,C,Subway,40.836013,-73.939892,Uptown,Downtown & Brooklyn,0,,,,,
388,388,388,413,IRT,Jerome Av,167 ST,Bx,4,Elevated,40.835537,-73.9214,Woodlawn,Manhattan,0,,,,,
218,218,218,D10,IND,Concourse,167 ST,Bx,B D,Subway,40.833771,-73.91844,Bedford Pk Blvd & 205 St,Manhattan,0,,,,,
146,148,605,A09,IND,8th Av - Fulton St,168 ST,M,A C,Subway,40.840719,-73.939561,207 St,Downtown & Brooklyn,1,,,,,
302,302,605,112,IRT,Broadway - 7Av,168 ST-WASHINGTON HTS,M,1,Subway,40.840556,-73.940133,Uptown & The Bronx,Downtown,0,,,,,
255,255,255,F02,IND,Queens Blvd,169 ST,Q,F,Subway,40.71047,-73.793604,179 St,Manhattan,0,,,,,
387,387,387,412,IRT,Jerome Av,170 ST,Bx,4,Elevated,40.840075,-73.917791,Woodlawn,Manhattan,1,,,,,
217,217,217,D09,IND,Concourse,170 ST,Bx,B D,Subway,40.839306,-73.9134,Bedford Pk Blvd & 205 St,Manhattan,0,,,,,
428,428,428,215,IRT,Lenox - White Plains Rd,174 ST,Bx,2 5,Elevated,40.837288,-73.887734,Wakefield - Eastchester,Manhattan,0,,,,,
216,216,216,D08,IND,Concourse,174-175 STS,Bx,B D,Subway,40.8459,-73.910136,Bedford Pk Blvd & 205 St,Manhattan,0,,,,,
145,147,147,A07,IND,8th Av - Fulton St,175 ST,M,A,Subway,40.847391,-73.939704,207 St,Downtown & Brooklyn,1,,,,,
385,385,385,410,IRT,Jerome Av,176 ST,Bx,4,Elevated,40.84848,-73.911794,Woodlawn,Manhattan,0,,,,,
245,245,245,F30,IND,6th Av - Culver,18 AV,Bk,F,Elevated,40.629755,-73.976971,Manhattan,Coney Island,0,,,,,
73,74,74,N05,BMT,Sea Beach,18 AV,Bk,N,Open Cut,40.620671,-73.990414,Manhattan,Coney Island,0,,,,,
