,STATION,UNIT
296,FOREST HILLS 71,R141
297,FRANKLIN AV,R297
298,FRANKLIN AV,R123
299,FRANKLIN ST,R343
300,FREEMAN ST,R409
301,FRESH POND RD,R404
302,FT HAMILTON PKY,R391
303,FT HAMILTON PKY,R289
304,FT HAMILTON PKY,R369
305,FULTON ST,R014
306,FULTON ST,R028
307,FULTON ST,R318
308,GATES AV,R380
309,GRAHAM AV,R249
310,GRAND ARMY PLAZ,R059
311,GRAND ST,R250
312,GRAND ST,R240
313,GRAND-NEWTOWN,R254
314,GRANT AV,R382
315,GRD CNTRL-42 ST,R048
316,GRD CNTRL-42 ST,R046
317,GRD CNTRL-42 ST,R045
318,GRD CNTRL-42 ST,R047
319,GREENPOINT AV,R239
320,GROVE STREET,R551
321,GUN HILL RD,R226
322,GUN HILL RD,R364
323,HALSEY ST,R381
324,HALSEY ST,R266
325,HARLEM 148 ST,R345
326,HARRISON,R544
327,HEWES ST,R352
328,HIGH ST,R252
329,HOUSTON ST,R290
330,HOWARD BCH JFK,R535
331,HOWARD BCH JFK,R414
332,HOYT ST,R225
333,HOYT ST,R456
334,HOYT-SCHER,R217
335,HUNTERS PT AV,R134
336,HUNTS POINT AV,R146
337,INTERVALE AV,R407
338,INWOOD-207 ST,R173
339,JACKSON AV,R405
340,JAMAICA 179 ST,R019
341,JAMAICA CENTER,R025
342,JAMAICA VAN WK,R342
343,JAY ST-METROTEC,R089
344,JAY ST-METROTEC,R127
345,JEFFERSON ST,R279
346,JFK JAMAICA CT1,R536
347,JKSN HT-ROOSVLT,R018
348,JOURNAL SQUARE,R552
349,JUNCTION BLVD,R097
350,JUNIUS ST,R066
351,KEW GARDENS,R158
352,KINGS HWY,R211
353,KINGS HWY,R395
354,KINGS HWY,R130
355,KINGSBRIDGE RD,R161
356,KINGSBRIDGE RD,R155
357,KINGSTON AV,R124
358,KINGSTON-THROOP,R199
359,KNICKERBOCKER,R413
360,KOSCIUSZKO ST,R379
361,LACKAWANNA,R550
362,LAFAYETTE AV,R283
363,LEXINGTON AV/53,R017
364,LEXINGTON AV/53,R016
