Employment_est,GEO_ID,NAME
1412,1400000US36005025700,"Census Tract 257, Bronx County, New York"
1679,1400000US36005026100,"Census Tract 261, Bronx County, New York"
5204,1400000US36005026300,"Census Tract 263, Bronx County, New York"
4128,1400000US36005026400,"Census Tract 264, Bronx County, New York"
5893,1400000US36005026500,"Census Tract 265, Bronx County, New York"
2516,1400000US36005026601,"Census Tract 266.01, Bronx County, New York"
4207,1400000US36005026602,"Census Tract 266.02, Bronx County, New York"
2675,1400000US36005026701,"Census Tract 267.01, Bronx County, New York"
5852,1400000US36005026702,"Census Tract 267.02, Bronx County, New York"
3078,1400000US36005026900,"Census Tract 269, Bronx County, New York"
6310,1400000US36005027300,"Census Tract 273, Bronx County, New York"
3924,1400000US36005027401,"Census Tract 274.01, Bronx County, New York"
2901,1400000US36005027402,"Census Tract 274.02, Bronx County, New York"
251,1400000US36005027600,"Census Tract 276, Bronx County, New York"
3440,1400000US36005027700,"Census Tract 277, Bronx County, New York"
6203,1400000US36005027900,"Census Tract 279, Bronx County, New York"
3372,1400000US36005028100,"Census Tract 281, Bronx County, New York"
1617,1400000US36005028300,"Census Tract 283, Bronx County, New York"
527,1400000US36005028400,"Census Tract 284, Bronx County, New York"
3144,1400000US36005028500,"Census Tract 285, Bronx County, New York"
821,1400000US36005028600,"Census Tract 286, Bronx County, New York"
2570,1400000US36005028700,"Census Tract 287, Bronx County, New York"
2579,1400000US36005028800,"Census Tract 288, Bronx County, New York"
3661,1400000US36005028900,"Census Tract 289, Bronx County, New York"
1579,1400000US36005029301,"Census Tract 293.01, Bronx County, New York"
4477,1400000US36005029302,"Census Tract 293.02, Bronx County, New York"
3703,1400000US36005029500,"Census Tract 295, Bronx County, New York"
1550,1400000US36005029600,"Census Tract 296, Bronx County, New York"
3105,1400000US36005029700,"Census Tract 297, Bronx County, New York"
5353,1400000US36005030000,"Census Tract 300, Bronx County, New York"
1316,1400000US36005030100,"Census Tract 301, Bronx County, New York"
3511,1400000US36005030201,"Census Tract 302.01, Bronx County, New York"
4282,1400000US36005030202,"Census Tract 302.02, Bronx County, New York"
4648,1400000US36005030701,"Census Tract 307.01, Bronx County, New York"
3905,1400000US36005030900,"Census Tract 309, Bronx County, New York"
4250,1400000US36005031000,"Census Tract 310, Bronx County, New York"
1231,1400000US36005031200,"Census Tract 312, Bronx County, New York"
1803,1400000US36005031400,"Census Tract 314, Bronx County, New York"
1685,1400000US36005031600,"Census Tract 316, Bronx County, New York"
1932,1400000US36005031800,"Census Tract 318, Bronx County, New York"
126,1400000US36005031900,"Census Tract 319, Bronx County, New York"
3971,1400000US36005032300,"Census Tract 323, Bronx County, New York"
