,closeness_centrality
A48-A-S,0.020810944861665452
A48-C-S,0.02093783700850607
A49,0.018703900882880927
A49-C-S,0.020548200004223634
A50,0.018435636859312834
A50-C-S,0.020224878681011037
A51-A-S,0.019962312542235926
A51-C-S,0.019988711177701596
A52,0.01773405720456123
A52-C-S,0.019383611563150986
A53,0.017388017451067286
A53-C-S,0.01897094922621942
A54,0.016900440903849134
A54-C-S,0.018392031208085958
A55,0.01681889767261478
A55-A-S,0.017975898015085635
A55-C-S,0.017956608517560573
A57,0.016222094454947194
A57-A-S,0.017585342431329573
A59,0.015927964167999676
A59-A-S,0.017240223055613443
A60,0.015612100544329805
A60-A-S,0.016870769692826974
A61,0.015303290584598677
A61-A-S,0.016510730206353925
A63,0.015040266685407653
A63-A-S,0.016204975609166287
A64,0.01478110455979914
A64-A-S,0.01590451971525984
A65,0.014522168478756637
A65-A-S,0.015605124158959089
B04,0.02063723671996356
B04-F-S,0.02289262478284217
B06,0.021381335991405254
B06-F-S,0.023811881167052046
B08-F-S,0.025119629564994073
B08-Q-S,0.024592798407069027
B10,0.02281648940625525
B10-F-S,0.025605566063751525
B12,0.017216788805685865
B12-D-S,0.018774337123848673
B13,0.016943957293832333
B13-D-S,0.01845037321926752
B14,0.01672760035775104
B14-D-S,0.0181941264261471
B15,0.01651835431926112
B15-D-S,0.01794685395197284
B16-D-S,0.017727647263648318
B17,0.015895731426798662
B17-D-S,0.017214274831528483
B18,0.015530289589884096
B18-D-S,0.016786507668542547
B19,0.01521827003200271
B19-D-S,0.016422560559811516
B20,0.014988498641548708
B20-D-S,0.016155302969254715
B21,0.014776281166694837
B21-D-S,0.015909028804551403
B22,0.014465513325692871
B22-D-S,0.015549365861006206
B23,0.014068211324561913
B23-D-S,0.01509123910916098
D01,0.013458437962793838
D01-D-S,0.014391753968564009
D03,0.01453992841994527
D03-B-S,0.015558543751057157
D03-D-S,0.014728114794662944
D04,0.014932278807415844
D04-B-S,0.016006509832281992
D04-D-S,0.015173414947978019
D05,0.015270488849941519
D05-B-S,0.016393994918091473
D05-D-S,0.015559747066512112
D06,0.015575574128509783
D06-B-S,0.016744619599309018
D06-D-S,0.01591020612657674
D07,0.01594539722159824
D07-B-S,0.017171040391660987
D07-D-S,0.016337554900215774
D08,0.01628505781444718
D08-B-S,0.017564036389329928
D08-D-S,0.016732508325821602
